1558462806.1441767,tracers/e67f9b15-4f3b-433a-a8e7-9a04cbf126ed,instances/10_305_e67f9b15-4f3b-433a-a8e7-9a04cbf126ed,fail,10,1e-05,0.01,0.1,500,500,200,300.0,None,None,0
1558462816.3412747,tracers/c358bd88-a294-45d4-82cc-fd48a1391fff,instances/10_306_c358bd88-a294-45d4-82cc-fd48a1391fff,fail,10,1e-05,0.01,0.1,500,500,200,300.0,None,None,0
1558462987.571278,tracers/7b28f305-acec-434a-bbcc-83d1f3df695a,instances/10_307_7b28f305-acec-434a-bbcc-83d1f3df695a,fail,10,1e-05,0.02,0.1,500,500,200,300.0,None,None,0
1558463151.142969,tracers/17fdaf07-7269-4685-98e1-48ac17fdb71a,instances/10_308_17fdaf07-7269-4685-98e1-48ac17fdb71a,fail,10,1e-05,0.01,0.075,500,500,200,300.0,None,None,0
1558463172.2641957,tracers/15d0df61-bc26-43fb-bec9-344ddcfd7686,instances/10_309_15d0df61-bc26-43fb-bec9-344ddcfd7686,fail,10,1e-05,0.01,0.075,500,500,200,300.0,None,None,0
1558463178.5156612,tracers/1142f8e8-32ef-498f-ba4a-bf4d861e4a16,instances/10_310_1142f8e8-32ef-498f-ba4a-bf4d861e4a16,fail,10,1e-05,0.01,0.075,500,500,200,300.0,None,None,0
1558463186.5853086,tracers/010dda69-4923-46ef-9eaf-1b2523822617,instances/10_311_010dda69-4923-46ef-9eaf-1b2523822617,fail,10,1e-05,0.01,0.075,500,500,200,300.0,None,None,0
1558463201.7786312,tracers/04e8c36a-6def-4581-8b98-a4f7cb2db19c,10_4,pass,10,1e-05,0.01,0.075,500,500,200,300.0,1244,7.802666921158813,0
1558463234.2670321,tracers/4e24ef29-a6dd-43eb-8017-8935422c8253,10_4,pass,10,1e-05,0.02,0.1,500,500,200,300.0,1247,7.474205043415723,0
1558465624.6274974,tracers/8dccf8b0-6b7f-4fd7-88b9-6b97923c17d0,10_4,pass,10,1e-05,0.02,0.1,500,500,200,300.0,1247,7.474205043415723,0
1558471638.3373337,tracers/ae8344f3-fac3-4f96-858b-8af57bb12b3d,10_4,fail,10,1e-05,0.01,0.1,500,500,200,150.0,None,None,0
1558471645.8751616,tracers/7248c75c-d659-4670-81fb-04be2515dd51,10_4,fail,10,1e-05,0.01,0.1,500,500,200,150.0,None,None,0
